structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
mvtable_mutable_simd,panda,bookshelf_small,9,0.048,2383,true,0.000741363,0.000170344,255,12
capt_simd,panda,bookshelf_small,9,0.048,2383,true,0.000870901,0.004102347,255,12
mvtable,panda,bookshelf_small,10,0.048,2277,true,0.000120569,0.000146447,9,11
mvtable_mutable,panda,bookshelf_small,10,0.048,2277,true,0.000113668,0.000159831,9,11
capt,panda,bookshelf_small,10,0.048,2277,true,0.000293302,0.003342469,9,11
kiddo,panda,bookshelf_small,10,0.048,2277,true,0.000642784,0.000104384,9,11
mvtable_simd,panda,bookshelf_small,10,0.048,2277,true,0.000098853,0.000154199,9,11
mvtable_mutable_simd,panda,bookshelf_small,10,0.048,2277,true,0.000092285,0.000158221,9,11
capt_simd,panda,bookshelf_small,10,0.048,2277,true,0.000237717,0.003943136,9,11
mvtable,panda,bookshelf_small,11,0.048,2277,true,0.000065077,0.00015149,2,6
mvtable_mutable,panda,bookshelf_small,11,0.048,2277,true,0.000060121,0.000165599,2,6
capt,panda,bookshelf_small,11,0.048,2277,true,0.0001229,0.003343954,2,6
kiddo,panda,bookshelf_small,11,0.048,2277,true,0.000354072,0.000102561,2,6
mvtable_simd,panda,bookshelf_small,11,0.048,2277,true,0.000055194,0.000137109,2,6
mvtable_mutable_simd,panda,bookshelf_small,11,0.048,2277,true,0.000050441,0.000164088,2,6
capt_simd,panda,bookshelf_small,11,0.048,2277,true,0.000115356,0.004012415,2,6
mvtable,panda,bookshelf_small,12,0.048,2390,true,0.000251395,0.000183259,16,7
mvtable_mutable,panda,bookshelf_small,12,0.048,2390,true,0.000237755,0.000179915,16,7
capt,panda,bookshelf_small,12,0.048,2390,true,0.000496415,0.003413908,16,7
kiddo,panda,bookshelf_small,12,0.048,2390,true,0.000577979,0.000105578,16,7
mvtable_simd,panda,bookshelf_small,12,0.048,2390,true,0.0002349,0.000183921,16,7
mvtable_mutable_simd,panda,bookshelf_small,12,0.048,2390,true,0.000229355,0.000178955,16,7
capt_simd,panda,bookshelf_small,12,0.048,2390,true,0.000233166,0.004117268,16,7
mvtable,panda,bookshelf_small,13,0.048,2349,true,0.000228553,0.000172557,126,5
mvtable_mutable,panda,bookshelf_small,13,0.048,2349,true,0.000215846,0.000199325,126,5
capt,panda,bookshelf_small,13,0.048,2349,true,0.000765088,0.003733371,126,5
